Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Verb_Freq_Std
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-06,0,NA,NA,NA,NA,NA,hacen actividades,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,-0.06813174218451237,L2L,7th/8th,5,0.2,2.2592064523195026
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-10,NA,NA,NA,NA,NA,NA,abrir el puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.7720166363876065
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-14,NA,NA,NA,NA,NA,NA,quiere ir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.23253275966298378
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-18,NA,NA,NA,NA,NA,NA,comer comida,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.6900769080593596
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-22,0,NA,NA,NA,NA,Extra clitic,ponerlas,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.3374006847728143
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-26,0,NA,NA,NA,NA,NA,mirar tele,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,-0.06813174218451237,L2L,7th/8th,5,0.2,0.950547173234953
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-28,NA,NA,NA,NA,NA,NA,soleado,Other,Subjunctive,NA,NA,salir,334324,Irregular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.5485881768912787
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere que pueden leer,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6291384597804124
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-06,0,NA,NA,NA,NA,NA,quiere que están haciendo ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,2.2592064523195026
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-10,1,NA,NA,NA,NA,NA,que abran la puerta,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.7720166363876065
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-14,1,NA,NA,NA,NA,NA,que salgan,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.23253275966298378
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-18,0,NA,NA,NA,NA,NA,quiere que comen,NA,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6900769080593596
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-22,0,NA,NA,NA,NA,NA,que las ponen ellos,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.3374006847728143
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-26,0,NA,NA,NA,NA,NA,que están mirando,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,0.950547173234953
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-28,1,NA,NA,NA,NA,NA,que sea un día soleado,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.5485881768912787
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-02,0,NA,NA,NA,NA,NA,que escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6291384597804124
