Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-10,0,NA,NA,NA,NA,NA,cerrar la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.769854120553205
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-14,0,NA,NA,NA,NA,English,salin (leave),Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.2318814061155509
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-18,0,NA,NA,NA,NA,NA,comer,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.6881439157243551
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-22,0,NA,NA,NA,NA,NA,poner,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.33645558295898137
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-26,0,NA,NA,NA,NA,NA,mirar la tv,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,0.947884570880832
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-28,NA,NA,NA,NA,NA,Removed 0 for accuracy; no verb -Jen,sol,Omission,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.5470515123128521
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-02,0,NA,NA,NA,NA,NA,escribe,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.6273761637142651
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-06,0,NA,NA,NA,NA,NA,que los niños hacen ejercicios,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,2.252878130498378
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-10,1,NA,NA,NA,NA,NA,que abran la puerta,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.769854120553205
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-14,0,NA,NA,NA,NA,NA,qye ir afuera,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.2318814061155509
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-18,1,NA,NA,NA,NA,NA,que coma la comida,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.6881439157243551
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-22,0,NA,NA,NA,NA,NA,que se ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.33645558295898137
