Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-23,1,,,,,,,,Clitic,Masculine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-24,1,,,,,,,,DOM,Masculine,,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-25,0,,,,,,,,Clitic,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-26,0,,,,,,,,Subjunctive,,,escribir,265684,Regular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-27,1,,,,,,,,DOM,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-28,1,,,,,,,,Subjunctive,,,salir,334324,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-01,0,,,,,,,,DOM,Masculine,,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-02,0,,,,,,,,Subjunctive,,,ver,1611795,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-03,1,,,,,,,,Clitic,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-04,0,,,,,,,,DOM,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-05,0,,,,,,,,Clitic,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-06,1,,,,,,,,Subjunctive,,,hacer,2726954,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-07,0,,,,,,,,Clitic,Masculine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-08,0,,,,,,,,DOM,Masculine,,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-09,1,,,,,,,,Clitic,Feminine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-10,0,,,,,,,,Subjunctive,,,comer,213756,Regular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-11,1,,,,,,,,Clitic,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-12,0,,,,,,,,DOM,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-13,1,,,,,,,,Clitic,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Forced Choice,FCT-14,1,,,,,,,,Subjunctive,,,ir,603647,Irregular
