Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-25,,,,,,SUBJ,pongan la mesa,DP,Clitic,Feminine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-26,0,,,,,,ver el tele,Infinitive,Subjunctive,,,ver,1611795,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-27,0,,,,,,las dos niñas,Omission,DOM,Feminine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-28,0,,,,,,ser soleado,Omission,Subjunctive,,,salir,334324,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-01,0,,,,,,su niño,Omission,DOM,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-02,1,,,,,,que escriban,,Subjunctive,,,escribir,265684,Regular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-03,1,1,1,,,,lo van romper,,Clitic,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-04,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-05,0,0,0,,,,comerlos,Gender/Number,Clitic,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-06,,,,,,,que juegan,Indicative,Subjunctive,,,hacer,2726954,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-07,1,1,1,,,,decirlos,,Clitic,Masculine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-08,1,,,,,,a sus hijos,,DOM,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-09,0,0,1,,,,van quitarlos,Gender,Clitic,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-10,1,,,,,,que abran la puerta,,Subjunctive,,,abrir,143932,Regular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-11,,,,,,,lavar,Omission,Clitic,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-12,0,,,,,,un hijo,Omission,DOM,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-13,,,,1,1,,van a escuchar música,DP,Clitic,Feminine,Singular,,,
