Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Speaker_Group,Age_Group,Accuracy_Combined,Timing,Interface,Contexts,Study_Age,Months_at_Testing,SPA_Pct,Verb_Freq_Std,BESA_Std,Months_at_Start_Std
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-06,NA,NA,NA,NA,NA,NA,que juegan,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,NA,Late,No,5,0,1.0780726644306007,0.2,2.2658487494967665,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-10,1,NA,NA,NA,NA,NA,que abran la puerta,NA,Subjunctive,NA,NA,abrir,143932,Regular,L2 learner,L2,L2,L2,L2L,7th/8th,1,Late,No,5,0,1.0780726644306007,0.2,-0.7742864439651361,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,van a salir,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,5,0,1.0780726644306007,0.2,-0.23321642967089526,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,que comen su cena,Indicative,Subjunctive,NA,NA,comer,213756,Regular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,5,0,1.0780726644306007,0.2,-0.6921058044861522,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,que ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,5,0,1.0780726644306007,0.2,-0.338392677166326,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,que miran la tele,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,5,0,1.0780726644306007,0.2,0.9533418787826256,0.6822680503847559,1.0780726644306264
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-28,0,NA,NA,NA,NA,NA,que el sol se sale,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,5,0,1.0780726644306007,0.2,-0.550201082031092,0.6822680503847559,1.0780726644306264
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,que ellos escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,HS,7th/8th,0,Late,No,8,0,1.3744386455699886,0.25,-0.6309881909597905,0.6822680503847559,1.3744386455700144
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,que los niños juegan,Regular verb,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,HS,7th/8th,0,Late,No,8,0,1.3744386455699886,0.25,2.2658487494967665,0.6822680503847559,1.3744386455700144
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-10,0,NA,NA,NA,NA,Code 0 for accuracy added -Jen,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,HS,7th/8th,0,Late,No,8,0,1.3744386455699886,0.25,-0.7742864439651361,0.6822680503847559,1.3744386455700144
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-14,1,NA,NA,NA,NA,Code 1 for accuracy added -Jen,quiere que sus amigos entren,Regular verb,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,HS,7th/8th,1,Late,No,8,0,1.3744386455699886,0.25,-0.23321642967089526,0.6822680503847559,1.3744386455700144
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,que los niños se comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,HS,7th/8th,0,Late,No,8,0,1.3744386455699886,0.25,-0.6921058044861522,0.6822680503847559,1.3744386455700144
H05,1,1,HS 7th/8th,8,NA,1.3744386455699886,NA,NA,NA,2,6,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,quiere que ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,HS,7th/8th,0,Late,No,8,0,1.3744386455699886,0.25,-0.338392677166326,0.6822680503847559,1.3744386455700144
