Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj
H05,Heritage,8,,174,2,6,,8,Production,Prod-09,,,,1,1,,ponen las chaquetas...,DP,Clitic,Feminine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-10,0,,,,,Code 0 for accuracy added -Jen,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-11,,,,,,,lavar el perro,DP,Clitic,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-12,0,,,,,,un niño,Omission,DOM,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-13,,,,,,,escuchar la música,DP,Clitic,Feminine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-14,1,,,,,Code 1 for accuracy added -Jen,quiere que sus amigos entren,Regular verb,Subjunctive,,,ir,603647,Irregular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-15,,,,1,1,,pusiste los libros,DP,Clitic,Masculine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-16,1,,,,,,a su bebé,,DOM,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-17,,,,1,1,,comiendo las galletas,DP,Clitic,Feminine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-18,0,,,,,,que los niños se comen,Indicative,Subjunctive,,,comer,213756,Regular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-19,,,,1,1,,preparando el pescado,DP,Clitic,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-20,0,,,,,,un niña que tiene miedo,Omission,DOM,Feminine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-21,,,,,,,cierran la puerta,DP,Clitic,Feminine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-22,0,,,,,,quiere que ponen,Indicative,Subjunctive,,,poner,514285,Irregular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-23,,,,,,,jugar la música,DP,Clitic,Masculine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-24,0,,,,,,dos niñas,Omission,DOM,Feminine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-25,,,,,,,los niños ponen la mascarillas,DP,Clitic,Feminine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-26,0,,,,,Code ) for accuracy and infinitive added -Jen,ver televisión,Infinitive,Subjunctive,,,ver,1611795,Irregular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-27,0,,,,,,,Omission,DOM,Feminine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-28,,,,,,,,Omission,Subjunctive,,,salir,334324,Irregular,Heritage Spanish,,,
H06,L2,8,,174,2,4,,8,Production,Prod-01,0,,,,,,un niño,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-02,0,,,,,,escriben,Indicative,Subjunctive,,,escribir,265684,Regular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-03,1,1,1,,,,lo hacen abrir,,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-04,0,,,,,,su hija,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-05,1,1,1,,,,la comen,,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-06,,,,,,,jugar,Infinitive,Subjunctive,,,hacer,2726954,Irregular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-07,1,1,1,,,,contarlos,,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-08,0,,,,,,un perrito y una niña,Omission,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-09,,,,,,,dos niñas están sacando,Omission,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-10,,,,,,,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-11,,,,,,,están lavando,Omission,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-12,0,,,,,,ve el niño,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-13,,,,,,,escuchando,Omission,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-14,,,,,,,los otros niños no están,Indicative,Subjunctive,,,ir,603647,Irregular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-15,,,,,,,poniendo en la mesa,Omission,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
